Youtube直播台,#genre#
東森新聞,https://www.youtube.com/watch?v=S5WOGu2HSes
TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
寰宇新聞,https://www.youtube.com/watch?v=B7Zp3d6xXWw
公共電視,https://www.youtube.com/watch?v=4Uc00FPs27M
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
大愛電視,https://www.youtube.com/watch?v=oV_i3Hsl_zg
鳳凰衛視,https://www.youtube.com/watch?v=if6yQq_JJyY
中文國際,https://www.youtube.com/watch?v=9sE12tg3CmA
東森財經,https://www.youtube.com/watch?v=LbS-xQ67fos
日本新聞,https://www.youtube.com/watch?v=coYw-eVU0Ks
英國新聞,https://www.youtube.com/watch?v=9Auq9mYxFEE
法國新聞,https://www.youtube.com/watch?v=h3MuIUNCCzI
美國新聞,https://www.youtube.com/watch?v=w_Ma8oQLmSM
歐洲新聞,https://www.youtube.com/watch?v=pykpO5kQJ98
德國新聞,https://www.youtube.com/watch?v=pqabxBKzZ6M
台灣地震監視,https://www.youtube.com/watch?v=Owke6Quk7T0
即時影像：台中望高寮,https://www.youtube.com/watch?v=lhXXhDyjFtI
即時影像：墾丁大街,https://www.youtube.com/watch?v=EfJ-6N9P4tw
即時影像：白沙灣,https://www.youtube.com/watch?v=s2W5ZFQ4y3k
即時影像：中角灣,https://www.youtube.com/watch?v=-WS7_jPzn4A
即時影像：台東池上,https://www.youtube.com/watch?v=WA7GEXVGAP0
即時影像：石門水庫,https://www.youtube.com/watch?v=1OTZ9rjFv78
即時影像：大稻埕,https://www.youtube.com/watch?v=Ndo_8RuefH4
即時影像：日月潭,https://www.youtube.com/watch?v=LUuiEv7WCTM
即時影像：東北角鼻頭,https://www.youtube.com/watch?v=bTazJ_uqF_E
即時影像：東北角福隆,https://www.youtube.com/watch?v=4rEivVylbgI
即時影像：東京新宿,https://www.youtube.com/watch?v=DjdUEyjx8GM
即時影像：紐約市,https://www.youtube.com/watch?v=1-iS7LArMPA
即時影像：NASA,https://www.youtube.com/watch?v=_HGQZlK08gQ
即時影像：梵蒂岡,https://www.youtube.com/watch?v=C3a7h8MWK2w
