Youtube新聞台,#genre#
東森新聞,https://www.youtube.com/watch?v=S5WOGu2HSes
TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
寰宇新聞,https://www.youtube.com/watch?v=B7Zp3d6xXWw
公共電視,https://www.youtube.com/watch?v=4Uc00FPs27M
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
鳳凰衛視,https://www.youtube.com/watch?v=if6yQq_JJyY
中文國際,https://www.youtube.com/watch?v=9sE12tg3CmA
東森財經股市,https://www.youtube.com/watch?v=LbS-xQ67fos
台灣地震監視,https://www.youtube.com/watch?v=Owke6Quk7T0
NHK WORLD,https://www.youtube.com/watch?v=f0lYkdA-Gtw
Sky News,https://www.youtube.com/watch?v=9Auq9mYxFEE
FRANCE 24,https://www.youtube.com/watch?v=h3MuIUNCCzI
ABC News,https://www.youtube.com/watch?v=w_Ma8oQLmSM
Euronews English,https://www.youtube.com/watch?v=pykpO5kQJ98
DW,https://www.youtube.com/watch?v=pqabxBKzZ6M
ANN News,https://www.youtube.com/watch?v=coYw-eVU0Ks
KBS KOREA,https://www.youtube.com/watch?v=HnfpTMtfFk8
NBC NEW,https://www.youtube.com/watch?v=0IUbD_4ytuo
KOMPASTV,https://www.youtube.com/watch?v=4rmf-lk3ito
東京新宿,https://www.youtube.com/watch?v=DjdUEyjx8GM
